SNR in DB,spike rate as a fraction of Nyquist rate = 44.1kHz,ahp high,Baseline Threshold
2.11182538131117,0.0703,0.005,5e-05
2.4711986280762885,0.0959,0.005,5e-05
3.367522743199202,0.1589,0.005,5e-05
6.997691124059953,0.5437,0.005,5e-05
7.847580504044648,0.5955,0.005,5e-05
8.60651554117616,0.6586,0.005,5e-05
6.8388517058429485,0.346,0.0005,5e-06
8.65695347928834,0.466,0.0005,5e-06
13.693832439877822,0.0254,0.005,5e-05
13.480297501626278,0.0277,0.005,5e-05
13.790369200917363,0.0296,0.005,5e-05
14.147121287237244,0.0326,0.005,5e-05
14.264610493307154,0.0355,0.005,5e-05
14.485378961019357,0.041,0.005,5e-05
14.976912077432583,0.0493,0.005,5e-05
15.260316209053029,0.0605,0.005,5e-05
15.438855097519422,0.0774,0.005,5e-05
15.921279075636104,0.1275,0.005,5e-05
5.397634670349072,0.0246,0.0005,5e-06
6.064545966029343,0.0316,0.0005,5e-06
10.550575110171298,0.0505,0.0005,5e-06
18.234778442124863,0.148,0.0005,5e-06
18.59155385926204,0.1596,0.0005,5e-06
18.52069256546941,0.1723,0.0005,5e-06
18.2027111985384,0.1895,0.0005,5e-06
18.810552867589102,0.2121,0.0005,5e-06
21.801859331091244,0.2445,0.0005,5e-06
20.989733878670496,0.288,0.0005,5e-06
25.026884616736357,0.3473,0.0005,5e-06
19.724719227649757,0.4681,0.0005,5e-06
12.205391090763943,0.0725,4.9999999999999996e-05,5e-07
14.876877251694033,0.0994,4.9999999999999996e-05,5e-07
16.814455201906267,0.1582,4.9999999999999996e-05,5e-07
24.054826421537058,0.4794,4.9999999999999996e-05,5e-07
23.32191348972497,0.5182,4.9999999999999996e-05,5e-07
24.81574860509494,0.5654,4.9999999999999996e-05,5e-07
25.06360490621377,0.6273,4.9999999999999996e-05,5e-07
14.14063897040769,0.377,4.9999999999999996e-06,5e-08
19.72036367868813,0.497,4.9999999999999996e-06,5e-08
9.7166686980689,0.0225,0.005,5e-05
9.93214476859533,0.0242,0.005,5e-05
10.611298392069294,0.0275,0.005,5e-05
10.54793726080434,0.0306,0.005,5e-05
10.67007921222736,0.0333,0.005,5e-05
10.944163059579564,0.0354,0.005,5e-05
11.254668224128721,0.0395,0.005,5e-05
12.120229885588813,0.0489,0.005,5e-05
12.872260139151145,0.0599,0.005,5e-05
13.478096208718991,0.0933,0.005,5e-05
4.128121671432731,0.0255,0.0005,5e-06
5.165076251126339,0.0345,0.0005,5e-06
6.992893402060787,0.0553,0.0005,5e-06
17.15295852732087,0.1728,0.0005,5e-06
18.29402021575403,0.1881,0.0005,5e-06
18.32927447413791,0.2073,0.0005,5e-06
19.057506245053656,0.227,0.0005,5e-06
20.003332175411476,0.2551,0.0005,5e-06
20.467000425533776,0.2864,0.0005,5e-06
20.80623358025505,0.3385,0.0005,5e-06
22.60759084505103,0.4243,0.0005,5e-06
25.550019755417196,0.555,0.0005,5e-06
10.744247829632625,0.0669,4.9999999999999996e-05,5e-07
12.281521461023406,0.0919,4.9999999999999996e-05,5e-07
14.408397437303666,0.1502,4.9999999999999996e-05,5e-07
20.59898990973295,0.4898,4.9999999999999996e-05,5e-07
21.414684502460098,0.5333,4.9999999999999996e-05,5e-07
21.90666906290857,0.5851,4.9999999999999996e-05,5e-07
22.365055269991924,0.6492,4.9999999999999996e-05,5e-07
17.70825433028022,0.3222,4.9999999999999996e-06,5e-08
18.09367813142667,0.4275,4.9999999999999996e-06,5e-08
20.582210638765638,0.6767,4.9999999999999996e-06,5e-08
1.3403037813261531,0.0262,0.005,5e-05
2.3359111528697993,0.0428,0.005,5e-05
6.5088744914028815,0.1501,0.005,5e-05
6.806948804809406,0.1656,0.005,5e-05
7.190728541679833,0.1835,0.005,5e-05
8.058975624247271,0.2003,0.005,5e-05
8.073377061986083,0.2374,0.005,5e-05
9.770972463920051,0.2869,0.005,5e-05
11.138845502560127,0.3431,0.005,5e-05
14.5255009741891,0.4146,0.005,5e-05
23.478206156359676,0.5666,0.005,5e-05
3.999188335351689,0.0579,0.0005,5e-06
4.9342928981673,0.0796,0.0005,5e-06
7.273799273322932,0.1329,0.0005,5e-06
16.29861078407491,0.4689,0.0005,5e-06
17.81993911032088,0.5232,0.0005,5e-06
19.833151491368174,0.5824,0.0005,5e-06
20.937298270142044,0.6304,0.0005,5e-06
7.622582037036805,0.2992,4.9999999999999996e-05,5e-07
10.379819566055398,0.4096,4.9999999999999996e-05,5e-07
17.667478226070262,0.6711,4.9999999999999996e-05,5e-07
2.932135479149329,0.025,0.005,5e-05
4.294095159109286,0.0336,0.005,5e-05
6.150074186400262,0.0552,0.005,5e-05
15.794373796804638,0.1736,0.005,5e-05
18.43781049266359,0.1865,0.005,5e-05
19.77400976629599,0.2056,0.005,5e-05
19.923437131336968,0.2279,0.005,5e-05
21.16580298368325,0.2565,0.005,5e-05
21.45017239387279,0.2972,0.005,5e-05
21.919139150741312,0.3546,0.005,5e-05
21.702837356895024,0.4414,0.005,5e-05
22.005564878636875,0.607,0.005,5e-05
9.340176524909685,0.08,0.0005,5e-06
11.544356365620894,0.1079,0.0005,5e-06
14.141414976426809,0.1723,0.0005,5e-06
23.239269192134916,0.5206,0.0005,5e-06
24.996440847504658,0.5628,0.0005,5e-06
25.17805671444568,0.6158,0.0005,5e-06
26.88258762669325,0.6849,0.0005,5e-06
17.960818107526688,0.4549,4.9999999999999996e-05,5e-07
19.03713180606114,0.6057,4.9999999999999996e-05,5e-07
19.262013431108336,0.0549,0.005,5e-05
17.834345983840933,0.0589,0.005,5e-05
18.448651534421273,0.0619,0.005,5e-05
19.373826341696034,0.0657,0.005,5e-05
20.56912282943903,0.0778,0.005,5e-05
20.65872437485288,0.0874,0.005,5e-05
21.22690851987737,0.0929,0.005,5e-05
22.159496887315214,0.1176,0.005,5e-05
23.17940368223347,0.1602,0.005,5e-05
23.615118510003956,0.2866,0.005,5e-05
3.899884814869059,0.0326,0.0005,5e-06
8.033280934321931,0.043,0.0005,5e-06
12.931963132430315,0.0673,0.0005,5e-06
24.294622422234767,0.195,0.0005,5e-06
28.246254062763523,0.215,0.0005,5e-06
26.424512220149275,0.2322,0.0005,5e-06
26.322762020542577,0.2577,0.0005,5e-06
26.823276837671614,0.2887,0.0005,5e-06
26.13316143328698,0.3369,0.0005,5e-06
28.463951824315888,0.3949,0.0005,5e-06
30.202273174003015,0.5011,0.0005,5e-06
26.328112368350148,0.6816,0.0005,5e-06
19.448717168538934,0.1033,4.9999999999999996e-05,5e-07
21.781481359457686,0.1411,4.9999999999999996e-05,5e-07
23.723093268241186,0.2279,4.9999999999999996e-05,5e-07
24.707804314883575,0.6559,4.9999999999999996e-05,5e-07
20.728907552751416,0.6435,4.9999999999999996e-06,5e-08
2.591261648787493,0.0242,0.005,5e-05
15.21194142629679,0.0388,0.005,5e-05
20.65199877666796,0.114,0.005,5e-05
22.007323304606263,0.1228,0.005,5e-05
19.55617060075568,0.1341,0.005,5e-05
19.290442097431296,0.1476,0.005,5e-05
22.672648148404907,0.168,0.005,5e-05
26.10445261199122,0.1936,0.005,5e-05
27.6413610915985,0.2297,0.005,5e-05
25.801925964682994,0.2871,0.005,5e-05
